"segmento","fecha","label","categoria"
"segmento1",2014-01-01,12.6627834893662,"1"
"segmento1",2014-01-02,12.6266005160249,"2"
"segmento1",2014-01-03,12.187446904074,"1"
"segmento1",2014-01-04,11.8853797480263,"4"
"segmento1",2014-01-05,11.859760499983,"4"
"segmento1",2014-01-06,11.6612445324451,"3"
"segmento1",2014-01-07,11.7677386024263,"3"
"segmento1",2014-01-08,11.3981869154369,"2"
"segmento1",2014-01-09,11.8566518361661,"2"
"segmento1",2014-01-10,11.9033806732557,"4"
"segmento1",2014-01-11,11.7992560808318,"1"
"segmento1",2014-01-12,11.9634132719842,"4"
"segmento1",2014-01-13,12.4454370909183,"3"
"segmento1",2014-01-14,12.6232480053171,"3"
"segmento1",2014-01-15,12.9287775581791,"4"
"segmento1",2014-01-16,13.0626338108324,"4"
"segmento1",2014-01-17,12.8338412251076,"3"
"segmento1",2014-01-18,12.8866094320563,"2"
"segmento1",2014-01-19,13.1240863215601,"3"
"segmento1",2014-01-20,13.4520004147122,"2"
"segmento1",2014-01-21,13.2125816044473,"2"
"segmento1",2014-01-22,13.2807676692913,"2"
"segmento1",2014-01-23,12.9327327320774,"1"
"segmento1",2014-01-24,12.5280325758693,"4"
"segmento1",2014-01-25,12.789454678062,"3"
"segmento1",2014-01-26,12.8252903604684,"4"
"segmento1",2014-01-27,12.6535657393844,"3"
"segmento1",2014-01-28,13.0776121932906,"3"
"segmento1",2014-01-29,13.1756783357997,"4"
"segmento1",2014-01-30,12.7405896631725,"3"
"segmento1",2014-01-31,12.3824112109867,"3"
"segmento1",2014-02-01,12.7445623205891,"4"
"segmento1",2014-02-02,12.2785516410825,"2"
"segmento1",2014-02-03,12.2687819015457,"4"
"segmento1",2014-02-04,12.2749459707582,"3"
"segmento1",2014-02-05,12.5364858118899,"1"
"segmento1",2014-02-06,12.0827499446999,"2"
"segmento1",2014-02-07,11.6351545402555,"3"
"segmento1",2014-02-08,11.7159555053518,"3"
"segmento1",2014-02-09,11.3915767330346,"1"
"segmento1",2014-02-10,11.7880544262078,"4"
"segmento1",2014-02-11,12.0605274082167,"4"
"segmento1",2014-02-12,12.1590635777221,"2"
"segmento1",2014-02-13,12.2580624573037,"2"
"segmento1",2014-02-14,12.3596806725059,"1"
"segmento1",2014-02-15,11.8625653197704,"2"
"segmento1",2014-02-16,12.3253053608598,"3"
"segmento1",2014-02-17,11.8946965977194,"3"
"segmento1",2014-02-18,11.5063856656091,"2"
"segmento1",2014-02-19,11.7801593973679,"4"
"segmento1",2014-02-20,11.6855148238949,"2"
"segmento1",2014-02-21,11.3959970742972,"3"
"segmento1",2014-02-22,11.0413324629444,"2"
"segmento1",2014-02-23,11.3043283915365,"1"
"segmento1",2014-02-24,11.466491905692,"2"
"segmento1",2014-02-25,11.9328824127422,"4"
"segmento1",2014-02-26,11.8263594506062,"4"
"segmento1",2014-02-27,11.9304476943609,"3"
"segmento1",2014-02-28,11.694675714593,"2"
"segmento1",2014-03-01,11.6841713024403,"4"
"segmento1",2014-03-02,11.5940613958908,"4"
"segmento1",2014-03-03,11.4449648986627,"4"
"segmento1",2014-03-04,11.825285103211,"1"
"segmento1",2014-03-05,11.4399538777666,"1"
"segmento1",2014-03-06,11.3352292894588,"3"
"segmento1",2014-03-07,10.8440884796073,"1"
"segmento1",2014-03-08,11.0449490706833,"2"
"segmento1",2014-03-09,11.1903966189377,"2"
"segmento1",2014-03-10,10.7290502660892,"2"
"segmento1",2014-03-11,10.7699396558577,"2"
"segmento1",2014-03-12,10.5825001148757,"4"
"segmento1",2014-03-13,10.3110547374887,"1"
"segmento1",2014-03-14,10.7315417385687,"4"
"segmento1",2014-03-15,10.2965561286596,"4"
"segmento1",2014-03-16,9.93813783394944,"1"
"segmento1",2014-03-17,9.92351021434875,"3"
"segmento1",2014-03-18,10.0382347207156,"3"
"segmento1",2014-03-19,9.81468469624494,"3"
"segmento1",2014-03-20,9.73302766511768,"3"
"segmento1",2014-03-21,9.32738046662592,"3"
"segmento1",2014-03-22,9.18734866715037,"3"
"segmento1",2014-03-23,9.4259340658177,"4"
"segmento1",2014-03-24,9.02318188031608,"4"
"segmento1",2014-03-25,8.92209507897705,"1"
"segmento1",2014-03-26,8.61477843968227,"2"
"segmento1",2014-03-27,9.02345515734466,"4"
"segmento1",2014-03-28,9.37713685562472,"3"
"segmento1",2014-03-29,8.97452214104867,"3"
"segmento1",2014-03-30,8.91559252268439,"1"
"segmento1",2014-03-31,8.72390720353258,"1"
"segmento1",2014-04-01,9.06911636875173,"4"
"segmento1",2014-04-02,8.7242952695921,"1"
"segmento1",2014-04-03,8.46006536921787,"1"
"segmento1",2014-04-04,8.95330637337902,"2"
"segmento1",2014-04-05,8.67186204325429,"3"
"segmento1",2014-04-06,8.93209861848955,"1"
"segmento1",2014-04-07,8.70080475965164,"4"
"segmento1",2014-04-08,8.51945299406522,"3"
"segmento1",2014-04-09,8.96498997437758,"1"
"segmento1",2014-04-10,9.41647582800942,"4"
"segmento1",2014-04-11,9.19539211788471,"3"
"segmento1",2014-04-12,9.0522038822369,"2"
"segmento1",2014-04-13,8.85158492981077,"1"
"segmento1",2014-04-14,8.76365996938507,"3"
"segmento1",2014-04-15,8.98761331865677,"4"
"segmento1",2014-04-16,8.8098789656997,"2"
"segmento1",2014-04-17,8.4120674526819,"3"
"segmento1",2014-04-18,8.14305211885784,"4"
"segmento1",2014-04-19,8.06350384705219,"1"
"segmento1",2014-04-20,8.16625685426441,"1"
"segmento1",2014-04-21,8.3415298939221,"3"
"segmento1",2014-04-22,7.91844942305576,"2"
"segmento1",2014-04-23,7.59387688326952,"3"
"segmento1",2014-04-24,7.71810354082806,"3"
"segmento1",2014-04-25,8.2149041618724,"3"
"segmento1",2014-04-26,8.10857689130101,"3"
"segmento1",2014-04-27,8.24382136059054,"2"
"segmento1",2014-04-28,8.4090667172873,"2"
"segmento1",2014-04-29,8.17137702029995,"3"
"segmento1",2014-04-30,8.08486302980891,"2"
